,word,frequency,count_rate
154,감,347,0.001004268866218074
168,할인,315,0.0009116561753852833
210,건지,245,0.0007090659141885537
234,옷,217,0.0006280298097098618
251,친절하시고,203,0.0005875117574705159
259,마리,198,0.0005730410245278923
264,핫,192,0.0005556761449967441
265,매장,192,0.0005556761449967441
288,빵,179,0.0005180522393459228
315,괜찮아요,160,0.0004630634541639534
320,굿굿굿,157,0.00045438101439837926
321,무난,157,0.00045438101439837926
333,그릇,150,0.0004341219882787063
339,조아요,148,0.0004283336951016569
340,튀,148,0.0004283336951016569
345,빠름,146,0.0004225454019246075
349,하시는,144,0.00041675710874755807
350,바삭바삭,143,0.00041386296215903336
353,음,142,0.00041096881557050864
355,분도,142,0.00041096881557050864
358,내,141,0.00040807466898198393
363,건,139,0.0004022863758049345
364,좋은데,138,0.00039939222921640984
365,음료,138,0.00039939222921640984
371,단,135,0.0003907097894508357
372,조각,135,0.0003907097894508357
375,수고,134,0.000387815642862311
378,최악,133,0.00038492149627378626
379,왔습니다,133,0.00038492149627378626
380,먹던,132,0.00038202734968526155
388,통,130,0.0003762390565082121
391,확인,129,0.00037334490991968746
393,옴,129,0.00037334490991968746
398,새벽,128,0.00037045076333116274
399,빠르네요,127,0.00036755661674263803
400,맛있어여,127,0.00036755661674263803
403,바사삭,126,0.0003646624701541133
405,는,125,0.0003617683235655886
410,맥,124,0.0003588741769770639
417,다리,120,0.0003472975906229651
418,얼음,120,0.0003472975906229651
419,짠,119,0.00034440344403444036
422,돈,119,0.00034440344403444036
425,맛있었는데,118,0.00034150929744591565
426,개인,117,0.00033861515085739093
427,따뜻하고,117,0.00033861515085739093
428,행사,117,0.00033861515085739093
429,빠릅니다,116,0.0003357210042688662
435,별,113,0.0003270385645032921
436,친절하고,113,0.0003270385645032921
437,원,113,0.0003270385645032921
439,뭔가,112,0.00032414441791476736
440,아들,111,0.0003212502713262427
441,드립니다,111,0.0003212502713262427
442,점심,110,0.000318356124737718
446,제대로,109,0.00031546197814919327
450,아니라,107,0.00030967368497214384
453,짱짱,107,0.00030967368497214384
455,쏘,106,0.0003067795383836191
458,욤,104,0.0003009912452065697
460,받아서,104,0.0003009912452065697
461,퍽퍽,104,0.0003009912452065697
462,거리,104,0.0003009912452065697
6,배달,10157,0.029395846899645466
15,빠르고,3397,0.009831415961218436
27,좋아요,2055,0.005947471239418276
30,안,1910,0.005527819984082194
52,빨리,1299,0.0037594964184935967
54,소스,1249,0.0036147890890673613
80,분,1011,0.0029259822009984806
108,바삭,954,0.002761015845452572
