,word,frequency,count_rate
216,구성,256,0.0006682712136953832
236,많네요,225,0.0005873477464119578
257,반찬,206,0.0005377494922705037
261,무조건,204,0.0005325286234135085
269,깜빡,200,0.0005220868856995181
290,하겠습니다,175,0.00045682602498707834
291,선택,175,0.00045682602498707834
293,짐하게,174,0.00045421559055858077
297,야식,172,0.00044899472170158557
298,신선하고,170,0.0004437738528445904
309,토핑,166,0.0004333321151306
314,식사,164,0.00042811124627360487
318,쫄깃,162,0.00042289037741660967
322,감동,159,0.0004150590741311169
324,명,158,0.0004124486397026193
332,생각나서,155,0.00040461733641712654
336,어제,154,0.00040200690198862897
337,찍었어요,153,0.00039939646756013134
342,강,152,0.00039678603313163377
351,고민,148,0.0003863442954176434
366,가장,140,0.00036546081998966266
367,먹을께요,139,0.0003628503855611651
374,이유,136,0.0003550190822756723
377,족장,136,0.0003550190822756723
380,종종,135,0.00035240864784717474
381,않아서,134,0.0003497982134186771
389,덮,132,0.00034457734456168197
392,생각날,131,0.00034196691013318434
396,비벼,130,0.00033935647570468676
397,달,129,0.0003367460412761892
398,좋아서,129,0.0003367460412761892
400,였습니다,128,0.0003341356068476916
403,두번째,128,0.0003341356068476916
404,사이즈,128,0.0003341356068476916
405,드세요,128,0.0003341356068476916
407,급하게,127,0.000331525172419194
408,시키는,127,0.000331525172419194
409,시킬께요,127,0.000331525172419194
410,지금,127,0.000331525172419194
413,본,126,0.0003289147379906964
414,사이드,126,0.0003289147379906964
418,매워요,124,0.0003236938691337012
419,시켰어요,124,0.0003236938691337012
421,같은데,123,0.00032108343470520364
423,재료,122,0.00031847300027670607
431,배고파서,120,0.00031325213141971086
440,중간,117,0.0003054208281342181
441,매워서,117,0.0003054208281342181
444,먹게,116,0.0003028103937057205
446,되네요,115,0.00030019995927722294
0,잘,18066,0.04716010838523747
1,먹었습니다,13688,0.03573162645727502
2,맛있게,13003,0.03394347887375417
5,너무,8388,0.021896323986237788
7,시켜,3972,0.01036864554999243
8,양도,3663,0.009562021311586674
10,주문,3510,0.009162624844026543
11,항상,3440,0.008979894434031712
12,진짜,2704,0.007058614694657485
14,양,2635,0.006878494719091151
16,많고,2520,0.006578294759813928
17,최고,2283,0.005959621800259999
18,맛있습니다,2175,0.005677694881982259
19,정말,2096,0.005471470562130949
22,먹고,1870,0.004881512381290494
23,다음,1810,0.004724886315580639
26,서비스,1766,0.004610027200726745
29,오늘,1727,0.0045082202580153385
31,리뷰,1686,0.0044011924464469375
34,만,1462,0.0038164551344634775
41,푸,1171,0.0030568187157706786
45,밥,1081,0.0028218796172058956
70,이벤트,711,0.0018560188786617869
