,length,count
0,11,3939
1,10,3483
2,12,3116
3,13,2449
4,14,2164
5,15,1944
6,16,1673
7,17,1484
8,18,1424
9,19,1262
10,20,1138
11,21,1114
12,22,1038
13,24,912
14,23,889
15,25,858
16,28,771
17,27,769
18,26,765
19,30,676
20,29,664
21,32,617
22,31,595
23,33,563
24,34,552
25,35,504
26,36,490
27,38,452
28,40,427
29,39,426
30,9,422
31,37,420
32,42,368
33,41,350
34,44,339
35,43,320
36,45,308
37,49,301
38,46,300
39,47,292
40,48,282
41,50,247
42,52,245
43,51,239
44,55,231
45,53,227
46,54,220
47,62,204
48,56,202
49,59,200
50,57,182
51,64,181
52,60,179
53,58,177
54,61,163
55,63,158
56,67,148
57,66,145
58,71,145
59,65,141
60,68,133
61,5,132
62,69,131
63,7,131
64,75,125
65,72,122
66,6,119
67,4,119
68,76,117
69,73,116
70,70,114
71,77,107
72,74,103
73,80,100
74,82,91
75,8,91
76,78,90
77,81,89
78,79,86
79,87,83
80,88,81
81,84,80
82,83,78
83,89,75
84,86,71
85,85,70
86,92,69
87,90,64
88,91,61
89,101,61
90,100,60
91,96,59
92,112,59
93,98,59
94,94,59
95,93,58
96,95,53
97,103,50
98,97,48
99,99,47
100,106,47
101,102,46
102,105,46
103,107,42
104,110,41
105,115,41
106,117,39
107,116,39
108,104,39
109,113,39
110,114,38
111,109,37
112,111,37
113,1,35
114,108,34
115,123,33
116,120,32
117,124,31
118,126,31
119,118,30
120,131,28
121,125,28
122,121,28
123,127,27
124,138,24
125,144,24
126,139,24
127,136,23
128,119,22
129,133,22
130,3,22
131,129,22
132,134,21
133,146,21
134,130,21
135,135,20
136,122,20
137,128,19
138,153,18
139,148,18
140,158,18
141,143,17
142,132,17
143,300,17
144,137,17
145,2,15
146,159,15
147,152,15
148,154,15
149,163,14
150,157,13
151,141,13
152,151,13
153,299,12
154,160,12
155,162,11
156,149,11
157,168,11
158,150,11
159,156,11
160,140,11
161,296,10
162,165,10
163,155,10
164,177,10
165,173,9
166,147,9
167,145,9
168,171,9
169,186,8
170,217,8
171,169,8
172,193,8
173,187,8
174,170,8
175,212,8
176,180,8
177,298,8
178,164,8
179,196,8
180,172,8
181,211,7
182,194,7
183,179,7
184,192,7
185,142,7
186,226,7
187,167,6
188,223,6
189,198,6
190,214,6
191,189,6
192,295,6
193,183,6
194,176,6
195,161,6
196,260,5
197,289,5
198,199,5
199,290,5
200,294,5
201,195,5
202,227,5
203,287,5
204,174,5
205,206,5
206,185,5
207,297,5
208,215,5
209,181,5
210,258,4
211,235,4
212,293,4
213,205,4
214,244,4
215,283,4
216,166,4
217,221,4
218,228,4
219,188,4
220,182,4
221,197,4
222,191,4
223,225,4
224,266,4
225,202,4
226,240,4
227,200,4
228,224,4
229,201,4
230,292,4
231,250,4
232,291,4
233,209,3
234,232,3
235,178,3
236,210,3
237,242,3
238,277,3
239,279,3
240,280,3
241,218,3
242,239,3
243,220,3
244,261,3
245,229,3
246,230,3
247,204,3
248,286,3
249,203,3
250,267,3
251,284,3
252,254,3
253,190,3
254,248,2
255,184,2
256,213,2
257,234,2
258,253,2
259,278,2
260,256,2
261,271,2
262,207,2
263,219,2
264,236,2
265,175,2
266,243,2
267,274,2
268,237,2
269,208,2
270,255,2
271,262,2
272,238,2
273,265,1
274,264,1
275,281,1
276,249,1
277,233,1
278,288,1
279,245,1
280,216,1
281,263,1
282,247,1
283,301,1
284,257,1
285,246,1
286,275,1
287,282,1
288,241,1
