,word,frequency
0,잘,33103
1,먹었습니다,24651
2,맛있게,23026
3,맛,18617
4,맛있어요,18457
5,배달,17737
6,너무,14144
7,먹었어요,6895
8,시켜,6575
9,주문,5988
10,빠르고,5963
11,항상,5938
12,양도,5678
13,감사합니다,4958
14,진짜,4629
15,양,4335
16,다,3984
17,많고,3834
18,좋아요,3797
19,최고,3790
20,맛있습니다,3729
21,맛있네요,3652
22,정말,3632
23,안,3600
24,역시,3512
25,족발,3268
26,맛있었어요,3245
27,치킨,3209
28,맛있고,3103
29,먹고,3033
30,넘,2982
31,다음,2917
32,오늘,2901
33,더,2845
34,요,2733
35,서비스,2506
36,리뷰,2381
37,처음,2325
38,만,2309
39,많이,2263
40,엄청,2258
41,빨리,2245
42,사진,2168
43,소스,2145
44,자주,2077
45,했는데,2073
46,같아요,2073
47,못,2024
48,탕수육,1988
49,먹어,1938
50,먹는,1913
51,늘,1908
52,해서,1866
53,음식,1858
54,양념,1809
55,집,1802
56,푸,1723
57,분,1647
58,시켰는데,1630
59,밥,1619
60,조금,1607
61,고기,1571
62,맛있어서,1555
63,합니다,1533
64,요청,1495
65,생각,1463
66,아주,1456
67,바삭,1445
68,튀김,1436
69,나게,1432
70,짬뽕,1392
71,먹었는데,1386
72,곳,1361
73,먹어요,1357
74,와서,1332
75,맛있었습니다,1312
76,굿,1255
77,봤는데,1226
78,돈까스,1202
79,사장,1191
80,냉면,1190
81,맛있는,1189
82,왔어요,1187
83,먹을,1185
84,있습니다,1174
85,하세요,1164
86,짐,1162
87,언제나,1159
88,근데,1158
89,떡,1156
90,점,1150
91,좋았어요,1149
92,추천,1143
93,사항,1141
94,메뉴,1130
95,국물,1129
96,포장,1116
97,완전,1115
98,막국수,1115
99,그냥,1105
100,보쌈,1105
101,떡볶이,1085
102,피자,1085
103,맛집,1083
104,비,1076
105,버거,1076
106,배송,1057
107,좋고,1056
108,매운,1050
109,후라이드,1014
110,추가,1007
111,코바,1002
112,먹는데,1000
113,거,994
114,번창,993
115,이벤트,987
116,존맛,983
117,믿고,980
118,먹기,961
119,매콤,959
120,예상,958
121,버거킹,948
122,많아서,944
123,먹어도,941
124,있어요,935
125,정도,931
126,많아요,923
127,좋네요,922
128,가격,918
129,짱,909
130,콜라,904
131,치즈,903
132,해,898
133,개,895
134,맛있어용,893
135,담,866
136,빠른,864
137,먹었네요,860
138,할게요,859
139,잇어요,850
140,빨라요,841
141,굳,830
142,먹을게요,828
143,좋았습니다,823
144,좋습니다,809
145,앞,808
146,말,801
147,않고,792
148,육회,781
149,맛있게잘,775
150,닭,775
151,살,771
152,초밥,755
153,김치,741
154,냄새,740
155,맵,716
156,제일,712
157,시킬게요,712
158,번,711
159,곱창,698
160,없이,697
161,할,687
162,잇게,676
163,감자,676
164,만족,669
165,가성,668
166,오고,661
167,햄버거,660
168,짜장면,646
169,특히,644
170,느낌,639
171,도착,637
172,살짝,631
173,먹고있습니다,627
174,맛있음,625
175,주셔서,622
176,빠르게,622
177,있어서,621
178,수,620
179,빨,613
180,다시,609
181,굿굿,607
182,달라,601
183,날,597
184,부드럽고,595
185,전,588
186,먹다가,586
187,하는,582
188,재,581
189,연어,581
190,따뜻하게,579
191,만두,576
192,중,575
193,주먹밥,569
194,용,566
195,단골,564
196,탱,562
197,배,561
198,링클,561
199,먹습니다,558
200,후,557
201,별로,556
202,면,556
203,오래,547
204,뿌,534
205,좋은,532
206,만족합니다,520
207,주신,519
208,꼭,516
209,듯,515
210,짜장,514
211,기분,514
212,이렇게,513
213,감사해요,513
214,먹겠습니다,512
215,약간,511
216,했습니다,508
217,세트,504
218,먹었,500
219,먹어서,500
220,주시,498
221,양은,498
222,치즈볼,493
223,배부르게,489
224,계속,485
225,해주셔서,484
226,보통,483
227,뭐,472
228,하니,471
229,먹고있어요,471
230,맛있는데,471
231,한번,470
232,새우,461
233,깔끔하고,460
234,왔네요,456
235,찍었네요,449
236,먹느라,448
237,중국집,447
238,하네요,447
239,첨,442
240,반,441
241,원래,437
242,지점,434
243,전화,433
244,무,432
245,없고,431
246,야채,429
247,강추,427
248,식어서,427
249,먹으니,424
250,나네요,424
251,시킬,423
252,하게,421
253,저번,420
254,보고,418
255,안나,416
256,게,416
257,입맛,414
258,여전히,413
259,기사,412
260,가족,408
261,매우,408
262,끼,407
263,김밥,406
264,할께요,405
265,상태,402
266,볶음밥,400
267,먹다,399
268,나고,398
269,감,396
270,기름,391
271,할인,383
272,고추,380
273,저녁,380
274,함,379
275,보니,378
276,먹,376
277,덜,375
278,입,375
279,도,375
280,따로,375
281,가게,370
282,했지만,370
283,없는,366
284,먹으면,360
285,는데,360
286,건지,359
287,습,358
288,알,358
289,불,356
290,덕분,356
291,했네요,354
292,그런지,353
293,한,348
294,맛있어,346
295,있는,346
296,구성,345
297,늦게,344
298,있고,343
299,없네요,342
300,찜닭,342
301,분만,337
302,요즘,337
303,없어서,336
304,같네요,335
305,식후감,334
306,대박,334
307,가루,333
308,감사,331
309,당면,330
310,맛있,329
311,많네요,328
312,순대,328
313,시켜요,325
314,실망,323
315,서,323
316,간장,323
317,이제,320
318,같은,320
319,와퍼,317
320,걸,316
321,먹은,316
322,아쉽네요,315
323,같습니다,315
324,적당히,312
325,옷,311
326,빨랐어요,310
327,요기,310
328,진리,309
329,시,307
330,맛있다,307
331,매장,306
332,돈가스,305
333,없어요,304
334,때문,303
335,예전,302
336,살이,300
337,시켜서,299
338,이용,299
339,기본,297
340,친절하시고,297
341,마늘,297
342,뼈,296
343,받았습니다,295
344,문자,295
345,반찬,295
346,였어요,292
347,왔고,292
348,온,289
349,인분,288
350,보는데,288
351,치밥,287
352,깜빡,286
353,불고기,286
354,신경,285
355,킹,285
356,먹네요,283
357,평소,283
358,쿠폰,282
359,땐,282
360,임,281
361,무조건,280
362,아쉬웠어요,279
363,줄,278
364,하면,276
365,들어주셔서,275
366,데,275
367,최애,275
368,파세요,275
369,감사히,272
370,가끔,270
371,좋아하는,270
372,야식,270
373,하고,268
374,먹었어용,267
375,식사,266
376,부분,266
377,애,265
378,선택,265
379,들어주시고,263
380,예정,262
381,간만,262
382,조합,261
383,페리,261
384,마리,260
385,하겠습니다,260
386,질,260
387,사랑,260
388,간이,260
389,찜,259
390,파스타,259
391,카나,258
392,먹음,257
393,이집,257
394,봐요,255
395,맛있다고,255
396,일찍,255
397,곱,254
398,된,254
399,맛초킹,252
400,좋겠어요,250
401,젤,249
402,좋은데,248
403,있는데,248
404,핫,247
405,그릇,246
406,늦은,246
407,감동,244
408,사람,244
409,짐하게,244
410,잘먹엇습니,243
411,좋아해서,243
412,나서,242
413,쫄깃,240
414,있네요,240
415,적당하고,239
416,찍었어요,238
417,조각,238
418,왔습니다,237
419,먹던,236
420,가장,236
421,새벽,236
422,굿굿굿,235
423,괜찮아요,234
424,명,234
425,달,232
426,고민,232
427,육수,232
428,맛있어여,231
429,내,230
430,음료,229
431,동네,229
432,않아서,229
433,생각나서,229
434,우동,229
435,확인,228
436,건,228
437,종종,228
438,먹을께요,227
439,강,227
440,무난,227
441,지금,226
442,어제,226
443,사리,226
444,하시는,225
445,음,225
446,빠르네요,225
447,드립니다,225
448,개인,224
449,시켰어요,221
450,아니라,220
451,별,219
452,빵,218
453,국수,216
454,간짜장,215
455,뿌링클,215
456,제대로,214
457,같은데,214
458,좋아서,213
459,바사삭,213
460,였습니다,212
461,맛있었는데,210
462,되네요,210
463,사이드,210
464,스시,210
465,급하게,209
466,아들,209
467,조아요,209
468,인,209
469,신선하고,208
470,많은,208
471,분도,208
472,따뜻하고,208
473,본,207
474,배고파서,207
475,사이즈,207
476,짱짱,205
477,뭔가,205
478,전체,204
479,찍어,204
480,달달,204
481,수고,204
482,빠름,202
483,회,201
484,하는데,200
485,시키는,200
486,바삭바삭,200
487,재료,199
488,교촌,199
489,토핑,198
490,김,198
491,돈,197
492,여긴,196
493,큰,196
494,레드,195
495,퍽퍽,194
496,빠릅니다,193
497,이유,193
498,두번째,193
499,친구,193
500,생각날,192
501,양념치킨,192
502,맥도날드,191
503,해장,190
504,니,190
505,매워요,190
506,먹게,190
507,비비큐,190
508,좋아하는데,189
509,하지,189
510,둘다,189
511,굽,188
512,주말,187
513,단,187
514,점심,187
515,드세요,187
516,계란찜,187
517,시킬께요,186
518,또래,186
519,롯데리아,185
520,덮,184
521,욤,184
522,기대,184
523,여기는,183
524,납니다,182
