,word,frequency
0,잘,15037
1,먹었습니다,10963
2,배달,10157
3,맛있게,10023
4,맛있어요,8896
5,맛,8840
6,너무,5756
7,빠르고,3397
8,먹었어요,3242
9,시켜,2603
10,항상,2498
11,주문,2478
12,감사합니다,2307
13,치킨,2288
14,좋아요,2055
15,다,2015
16,양도,2015
17,진짜,1925
18,안,1910
19,역시,1723
20,양,1700
21,맛있네요,1616
22,맛있습니다,1554
23,정말,1536
24,최고,1507
25,맛있었어요,1504
26,요,1392
27,넘,1335
28,맛있고,1323
29,많고,1314
30,빨리,1299
31,더,1288
32,소스,1249
33,오늘,1174
34,먹고,1163
35,다음,1107
36,많이,1077
37,버거,1072
38,탕수육,1064
39,처음,1035
40,분,1011
41,엄청,1006
42,양념,1002
43,튀김,999
44,했는데,981
45,바삭,954
46,못,954
47,자주,948
48,버거킹,948
49,음식,940
50,후라이드,909
51,먹는,907
52,같아요,887
53,먹어,886
54,사진,880
55,해서,858
56,짬뽕,858
57,만,847
58,늘,809
59,조금,796
60,시켰는데,756
61,생각,746
62,서비스,740
63,요청,733
64,와서,733
65,집,731
66,아주,711
67,합니다,711
68,굿,707
69,왔어요,707
70,리뷰,695
71,그냥,672
72,배송,670
73,나게,666
74,햄버거,660
75,콜라,639
76,국물,625
77,메뉴,622
78,맛있어서,603
79,근데,600
80,곳,577
81,먹었는데,576
82,사항,571
83,좋았어요,570
84,푸,552
85,족발,552
86,빠른,546
87,먹어요,541
88,봤는데,540
89,완전,539
90,맛있었습니다,539
91,밥,538
92,빨라요,535
93,추천,529
94,예상,528
95,떡볶이,526
96,언제나,522
97,개,510
98,고기,509
99,닭,504
100,점,493
101,먹을,489
102,포장,486
103,사장,486
104,맛있는,485
105,비,481
106,거,481
107,하세요,476
108,믿고,471
109,매콤,467
110,먹는데,464
111,정도,462
112,해,460
113,감자,454
114,굳,451
115,짱,445
116,떡,442
117,잇어요,439
118,좋네요,436
119,맛있어용,436
120,존맛,431
121,링클,429
122,살,428
123,있습니다,427
124,먹었네요,422
125,먹기,421
126,좋고,420
127,추가,417
128,후,412
129,치즈,409
130,뿌,407
131,김밥,400
132,있어요,396
133,좋았습니다,396
134,않고,395
135,돈까스,391
136,말,390
137,앞,390
138,가격,388
139,오래,384
140,먹어도,383
141,좋습니다,382
142,짐,378
143,도착,369
144,빨,366
145,오고,362
146,맛있음,361
147,번창,360
148,빠르게,355
149,제일,355
150,맛있게잘,353
151,담,352
152,달라,347
153,짜장,347
154,감,347
155,매운,346
156,별로,342
157,맛집,340
158,치즈볼,337
159,짜장면,336
160,많아서,335
161,느낌,329
162,다시,327
163,따뜻하게,324
164,많아요,322
165,굿굿,319
166,살짝,317
167,와퍼,317
168,할인,315
169,없이,308
170,할,307
171,냄새,305
172,새우,304
173,수,304
174,세트,303
175,할게요,303
176,잇게,303
177,날,302
178,만족,300
179,번,300
180,왔네요,298
181,식어서,297
182,냉면,295
183,면,293
184,먹을게요,290
185,시킬게요,290
186,만족합니다,289
187,하는,286
188,양은,279
189,주셔서,279
190,이벤트,276
191,반,273
192,전,270
193,듯,269
194,있어서,268
195,기름,267
196,용,264
197,만두,263
198,전화,260
199,페리,260
200,기분,257
201,특히,257
202,카나,257
203,약간,255
204,탱,254
205,재,253
206,맛있는데,251
207,불고기,249
208,이렇게,248
209,맵,247
210,건지,245
211,먹다가,243
212,뭐,243
213,중,242
214,기사,242
215,하네요,241
216,무,240
217,감사해요,240
218,먹었,240
219,첨,239
220,원래,238
221,상태,236
222,해주셔서,236
223,하니,235
224,먹어서,233
225,야채,233
226,킹,231
227,없고,229
228,했습니다,229
229,먹고있습니다,226
230,주시,225
231,나네요,224
232,함,223
233,보쌈,220
234,옷,217
235,김치,217
236,하게,217
237,매우,217
238,식후감,216
239,곱창,216
240,고추,215
241,분만,215
242,배,214
243,가성,213
244,좋은,209
245,먹습니다,206
246,먹,206
247,가루,205
248,단골,205
249,맛초킹,205
250,실망,203
251,친절하시고,203
252,입맛,202
253,순대,201
254,했지만,200
255,지점,200
256,그런지,198
257,중국집,198
258,없네요,198
259,마리,198
260,먹으니,195
261,간장,195
262,계속,194
263,요기,193
264,핫,192
265,매장,192
266,찍었네요,191
267,진리,191
268,배부르게,191
269,맥도날드,191
270,비비큐,190
271,볶음밥,188
272,저번,187
273,서,187
274,덜,186
275,시킬,186
276,는데,186
277,또래,186
278,게,185
279,없는,185
280,롯데리아,185
281,먹느라,184
282,없어서,184
283,맛있어,184
284,꼭,184
285,나고,183
286,할께요,182
287,요즘,180
288,빵,179
289,빨랐어요,177
290,맛있,177
291,막국수,175
292,아쉽네요,174
293,먹고있어요,174
294,맛있다,174
295,보고,174
296,시,174
297,문자,174
298,보니,173
299,부드럽고,172
300,늦게,172
301,강추,169
302,먹겠습니다,169
303,같네요,169
304,한번,168
305,먹다,167
306,신경,167
307,양념치킨,167
308,걸,165
309,살이,164
310,따로,162
311,예전,161
312,먹은,161
313,감사,161
314,입,160
315,괜찮아요,160
316,주먹밥,160
317,임,159
318,깔끔하고,159
319,저녁,159
320,굿굿굿,157
321,무난,157
322,있는,157
323,끼,156
324,도,156
325,같은,156
326,한,154
327,때문,154
328,당면,154
329,뿌링클,154
330,습,152
331,가게,151
332,보통,150
333,그릇,150
334,이용,150
335,받았습니다,149
336,있고,149
337,였어요,148
338,평소,148
339,조아요,148
340,튀,148
341,없어요,147
342,기본,147
343,했네요,146
344,쿠폰,146
345,빠름,146
346,왔고,146
347,하고,145
348,보는데,144
349,하시는,144
350,바삭바삭,143
351,안나,142
352,파세요,142
353,음,142
354,데,142
355,분도,142
356,들어주셔서,141
357,최애,141
358,내,141
359,일찍,140
360,갈릭,140
361,줄,139
362,봐요,139
363,건,139
364,좋은데,138
365,음료,138
366,찜닭,138
367,먹으면,137
368,여전히,137
369,가끔,135
370,패티,135
371,단,135
372,조각,135
373,레드,134
374,시켜서,134
375,수고,134
376,불,134
377,아쉬웠어요,133
378,최악,133
379,왔습니다,133
380,먹던,132
381,먹음,132
382,대박,132
383,맥날,132
384,덕분,131
385,젤,130
386,있는데,130
387,뼈,130
388,통,130
389,알,129
390,찜,129
391,확인,129
392,좋아하는,129
393,옴,129
394,온,129
395,하면,129
396,좋겠어요,128
397,같습니다,128
398,새벽,128
399,빠르네요,127
400,맛있어여,127
401,애,126
402,된,126
403,바사삭,126
404,인분,125
405,는,125
406,간짜장,124
407,좋아해서,124
408,간만,124
409,적당히,124
410,맥,124
411,사람,123
412,이제,123
413,먹네요,122
414,시켜요,122
415,늦은,122
416,잘먹엇습니,121
417,다리,120
418,얼음,120
419,짠,119
420,오징어,119
421,사랑,119
422,돈,119
423,가족,119
424,이집,118
425,맛있었는데,118
426,개인,117
427,따뜻하고,117
428,행사,117
429,빠릅니다,116
430,땐,116
431,주신,116
432,먹었어용,115
433,예정,114
434,동네,113
435,별,113
436,친절하고,113
437,원,113
438,닭다리,113
439,뭔가,112
440,아들,111
441,드립니다,111
442,점심,110
443,있네요,110
444,쫄면,109
445,부분,109
446,제대로,109
447,질,109
448,맛있다고,108
449,적당하고,108
450,아니라,107
451,들어주시고,107
452,간이,107
453,짱짱,107
454,마늘,107
455,쏘,106
456,조합,106
457,나서,105
458,욤,104
459,감사히,104
460,받아서,104
461,퍽퍽,104
462,거리,104
463,달,103
464,육개장,103
465,많네요,103
466,되서,103
467,굽,103
468,식사,102
469,하는데,102
470,아침,102
471,올리브,102
472,니,101
473,차이나,101
474,먹을만,101
475,돈가스,100
476,비해,100
477,우동,100
478,좋,99
479,자체,99
480,불어,99
481,하지,99
482,지금,99
483,많은,98
484,크기,98
485,달달,98
486,야식,98
487,여긴,97
488,단무지,97
489,전체,97
490,시켰어요,97
491,문제,97
492,아쉬워요,97
493,좋아용,97
494,치즈스틱,97
495,맛있었고,96
496,가장,96
497,빼,95
498,났어요,95
499,인,95
500,않아서,95
501,고맙습니다,95
502,읍니,95
503,되네요,95
504,잘못,95
505,직접,94
506,아니고,94
507,골드,94
508,오뎅,93
509,찍어,93
510,그대로,93
511,종종,93
512,통닭,93
513,꼬치,93
514,잇네요,92
515,단계,92
516,같은데,91
517,주말,91
518,엇,91
519,이해,91
520,옛날,91
521,왔는데,91
522,직원,91
523,김말이,91
524,선택,90
525,금방,90
526,납니다,89
527,반찬,89
528,구성,89
529,쟁반짜장,89
530,넘나,89
531,먹을께요,88
532,가서,88
533,않아요,88
534,받았어요,87
535,찹쌀,87
536,속도,87
537,해장,87
538,배고파서,87
539,친절하세요,87
540,날씨,87
541,깜빡,86
542,있었어요,86
543,감동,85
544,편,85
545,큰,85
546,군,85
547,탕슉,85
548,양파,85
549,찍었어요,85
550,하겠습니다,85
551,였습니다,84
552,보다,84
553,좋아서,84
554,이었어요,84
555,고민,84
556,사이드,84
557,파스타,84
558,참잘,84
559,황금,84
560,함박,84
561,좋음,83
562,급하게,82
563,빨랐고,82
564,되게,81
565,알았는데,81
566,본,81
567,이었습니다,80
568,연락,80
569,취향,80
570,향,80
571,괜찮았어요,80
572,넘게,80
573,샐러드,80
574,모닝,80
575,마시,79
576,시킨,79
577,해주세요,79
578,않게,79
579,친구,79
580,사이즈,79
581,편이,78
582,따,78
583,쫄깃,78
584,기대,78
585,미리,78
586,재료,77
587,당황,77
588,실수,77
589,따듯,77
590,마,76
591,명,76
592,무조건,76
593,순삭,76
594,해도,76
595,친절하게,76
596,나용,76
597,괜찮네요,76
598,대비,75
599,곱,75
600,나쁘지,75
601,좋아하는데,75
602,꽤,75
603,햇,75
604,둘다,75
605,강,75
606,김,75
607,좋게,74
608,생각나서,74
609,시키면,74
610,빼고,74
611,꿀맛,74
612,짜,74
613,받고,74
614,보,74
615,먹게,74
616,맨날,74
617,피자,74
618,조리,73
619,애용,73
620,시키는,73
621,마음,73
622,놀랐어요,72
623,잇고,72
624,문,72
625,어제,72
626,먹엇습니,72
627,천원,71
628,런가,71
629,재주,71
630,없음,71
631,걱정,71
632,은,71
633,맘,71
634,뜨,71
635,짐하게,70
636,후기,70
637,여기는,70
638,용이,70
639,튀가,70
640,근처,69
641,먹을수,69
642,가요,69
643,벨,69
644,솔직히,69
645,되어,69
646,윙,69
647,박스,69
648,빅맥,69
649,맛있네용,68
650,드렸는데,68
651,젓가락,68
652,정시,68
653,아쉽지만,68
654,맛있었어용,68
655,취소,68
656,더블,68
657,김치찌개,67
658,탕,67
659,눈,67
660,부추,67
661,봉투,67
662,했더니,66
663,있었는데,66
664,기요,66
665,매워요,66
666,않네요,66
667,있었습니다,66
668,잇습니다,66
669,맛있지만,66
670,밤,66
671,나중,66
672,물,66
673,두고,65
674,전혀,65
675,케찹,65
676,배기,65
677,대신,65
678,않는,65
679,두번째,65
680,매워서,65
681,잇어용,65
682,켯,65
683,되는,65
684,료,65
685,두,65
686,있어,65
687,기네스,65
688,노랑,65
689,손,64
690,건가,64
691,가지,64
692,좋아해요,64
693,쌈,64
694,볶음,63
695,아쉬웠지만,63
696,곱빼기,63
697,맛있구요,63
698,듬뿍,63
699,왔지만,63
700,새로,63
701,양상추,63
702,아는,63
703,깍두기,63
704,싶을,62
705,시킵니다,62
706,분식,62
707,수준,62
708,아아,62
709,적은,62
710,짜고,62
711,맛있는거,62
712,적어요,62
713,지난번,62
714,닝,62
715,종로,62
716,생각날,61
717,의사,61
718,자꾸,61
719,찍어서,61
720,시키는데,61
721,바,61
722,변함,61
723,써요,61
724,다시는,61
725,왕,61
726,걸려서,61
727,트러플,61
728,속,60
729,모든,60
730,매운거,60
731,않은,60
732,돼지,60
733,좋았고,60
734,해물,60
735,중간,60
736,좋겠네요,60
737,기도,60
738,우,60
739,후회,60
740,적,60
741,아쉽,60
742,넣어,60
743,누락,60
744,받아,60
745,가슴,60
746,먹고싶어서,59
747,갈,59
748,시킬께요,59
749,드려요,59
750,해주시,59
751,참고,59
752,드세요,59
753,깔끔하게,59
754,고생,59
755,적어서,59
756,소금,59
757,저렴하게,59
758,빨대,59
759,위,58
760,스,58
761,진심,58
762,요리,58
763,엄마,58
764,피,58
765,비도,58
766,깜짝,58
767,끈,58
768,괜찮고,58
769,될,58
770,늦어서,58
771,써,58
772,식지,58
773,주셨어요,57
774,간,57
775,면도,57
776,많았어요,57
777,겁나,57
778,바닥,57
779,이유,57
780,계란,57
781,쵝오,57
782,작은,57
783,써주세요,57
784,곰탕,57
785,먹어야,56
786,일반,56
787,내장,56
788,움,56
789,잘먹엇어,56
790,글,56
791,그럭저럭,56
792,같아서,56
793,걍,56
794,일주일,56
795,안주,56
