,word,frequency
0,배달,940
1,안,733
2,맛,666
3,너무,516
4,다,491
5,분,326
6,치킨,324
7,주문,321
8,음식,247
9,시켜,224
10,그냥,212
11,못,210
12,했는데,203
13,진짜,200
14,소스,196
15,콜라,190
16,리뷰,183
17,시켰는데,174
18,잘,172
19,튀김,162
20,요,162
21,전화,153
22,탕수육,152
23,최악,152
24,닭,148
25,별로,137
26,더,134
27,처음,130
28,양념,129
29,정말,127
30,많이,127
31,거,123
32,다시,122
33,해서,121
34,먹고,116
35,건지,115
36,실망,115
37,오늘,114
38,개,114
39,요청,111
40,짬뽕,110
41,감자,105
42,밥,102
43,말,101
44,이렇게,101
45,정도,98
46,없고,98
47,고기,96
48,돈,96
49,양,94
50,햄버거,94
51,냄새,91
52,생각,91
53,식어서,91
54,도착,90
55,점,90
56,달라,88
57,국물,87
58,오고,86
59,기분,85
60,엄청,82
61,같아요,81
62,왔어요,80
63,집,75
64,없네요,75
65,매장,75
66,기름,75
67,뭐,74
68,사항,74
69,합니다,73
70,시,72
71,왔네요,72
72,않고,71
73,상태,70
74,없이,70
75,버거,70
76,번,68
77,와서,68
78,먹었는데,67
79,다시는,67
80,서비스,66
81,곳,66
82,짜장,65
83,면,65
84,먹는,64
85,살,63
86,같네요,63
87,앞,61
88,신경,60
89,사장,59
90,느낌,59
91,원래,59
92,보고,57
93,떡,57
94,지점,57
95,메뉴,57
96,조금,56
97,할,56
98,먹어,56
99,자주,56
100,양도,55
101,완전,55
102,포장,55
103,족발,55
104,하는,54
105,조각,54
106,걸,53
107,문자,53
108,먹을,53
109,다음,53
110,무,53
111,짜장면,52
112,아니고,52
113,치즈,52
114,예상,52
115,감,52
116,후라이드,52
117,가게,51
118,이해,51
119,원,50
120,먹는데,50
121,바삭,50
122,사진,50
123,없어요,50
124,하지,50
125,할인,50
126,추가,49
127,다신,49
128,늦게,48
129,하네요,48
130,입,48
131,는데,48
132,가격,48
133,확인,47
134,옴,47
135,요기,46
136,하고,46
137,후,46
138,근데,46
139,맛있게,46
140,문제,45
141,전,45
142,만,45
143,임,45
144,취소,44
145,건,44
146,같은,44
147,옷,43
148,중,43
149,질,42
150,불어,41
151,기사,41
152,된,41
153,해,41
154,제대로,41
155,아닌가요,41
156,조리,41
157,반,41
158,날,40
159,아니라,40
160,연락,40
161,퍽퍽,40
162,없어서,40
163,한,40
164,오래,40
165,넘게,40
166,먹다,39
167,먹었습니다,39
168,음료,38
169,따로,38
170,이벤트,38
171,넘,38
172,듯,38
173,먹다가,38
174,수,38
175,피자,38
176,가요,38
177,시킬,38
178,볶음밥,38
179,함,37
180,양파,37
181,환불,37
182,왔는데,37
183,마세요,37
184,내,37
185,잘못,36
186,받고,36
187,했습니다,36
188,김치,36
189,양은,36
190,얼음,36
191,없음,35
192,다식,35
193,장사,35
194,지금,35
195,한번,35
196,야채,35
197,아무리,35
198,사람,35
199,이제,34
200,보통,34
201,실수,34
202,전화해서,34
203,보니,34
204,하는데,33
205,항상,33
206,건가,33
207,분만,33
208,나고,32
209,같습니다,32
210,입맛,32
211,미리,32
212,평소,32
213,비,32
214,시켜서,32
215,없는,32
216,하면,32
217,탄,32
218,예전,31
219,있는,31
220,게,31
221,했더니,31
222,버렸습니다,31
223,때문,31
224,먹기,31
225,젓가락,31
226,짜고,31
227,돈까스,31
228,기본,30
229,말씀,30
230,였어요,30
231,먹은,30
232,천원,30
233,먹었네요,30
234,하세요,30
235,예정,30
236,결제,30
237,첨,29
238,덜,29
239,그런지,29
240,냉면,29
241,고객,28
242,불,28
243,제일,28
244,주고,28
245,세트,28
246,배송,28
247,음,28
248,서,28
249,빵,28
250,만두,28
251,별,27
252,단무지,27
253,매운,27
254,줄,27
255,해도,27
256,식,27
257,출발,27
258,봤는데,27
259,패티,27
260,저번,26
261,켯,26
262,거리,26
263,전혀,26
264,먹었어요,26
265,데,26
266,박스,26
267,가루,26
268,불고기,26
269,물,26
270,오래된,26
271,빨대,26
272,빨리,25
273,안주,25
274,맛없어요,25
275,수준,25
276,부분,25
277,솔직히,25
278,직원,25
279,온,25
280,벨,25
281,써주세요,25
282,봐요,25
283,눅눅하고,25
284,아예,25
285,같은데,24
286,없습니다,24
287,있고,24
288,먹던,24
289,참고,24
290,계속,24
291,하시는,24
292,걸려서,24
293,절대,24
294,뼈,24
295,떡볶이,24
296,살이,24
297,링클,24
298,알,24
299,나서,24
300,뭔가,24
301,치즈볼,24
302,전화했더니,23
303,많고,23
304,아닌데,23
305,이미,23
306,크기,23
307,사과,23
308,스럽네요,23
309,적고,23
310,짜요,23
311,누가,23
312,소금,23
313,재료,23
314,간짜장,23
315,문,22
316,있어서,22
317,버렸어요,22
318,만원,22
319,대충,22
320,기요,22
321,버렸네요,22
322,뿌,22
323,이상한,22
324,딱딱하고,22
325,누락,22
326,맛있어서,22
327,하니,22
328,코바,22
329,중국집,22
330,오징어,22
331,마리,22
332,치즈스틱,22
333,안나,21
334,엉망,21
335,당황,21
336,글,21
337,다리,21
338,도,21
339,냉동,21
340,재,21
341,되서,21
342,완료,21
343,식은,21
344,라지,21
345,그릇,20
346,기고,20
347,않네요,20
348,달,20
349,아쉽네요,20
350,배,20
351,햄,20
352,늘,20
353,왔습니다,20
354,먹음,20
355,했네요,20
356,매우,20
357,아닌,20
358,역시,20
359,제발,20
360,햇,19
361,놓고,19
362,보,19
363,쿠폰,19
364,저녁,19
365,봅니다,19
366,그런,19
367,빼고,19
368,않아요,19
369,껍질,19
370,걍,19
371,초밥,19
372,빼,19
373,늦고,19
374,고추,19
375,아니네요,19
