,word,frequency
0,잘,32709
1,먹었습니다,24474
2,맛있게,22890
3,맛있어요,18382
4,맛,17332
5,배달,16189
6,너무,13243
7,먹었어요,6819
8,시켜,6226
9,빠르고,5919
10,항상,5865
11,양도,5556
12,주문,5488
13,감사합니다,4916
14,진짜,4371
15,양,4103
16,많고,3783
17,최고,3769
18,좋아요,3763
19,맛있습니다,3705
20,맛있네요,3631
21,역시,3473
22,정말,3450
23,다,3268
24,맛있었어요,3217
25,족발,3167
26,맛있고,3075
27,넘,2887
28,먹고,2870
29,다음,2821
30,치킨,2718
31,오늘,2696
32,더,2613
33,안,2569
34,요,2509
35,서비스,2393
36,만,2232
37,빨리,2174
38,처음,2139
39,엄청,2120
40,리뷰,2104
41,사진,2094
42,많이,2007
43,자주,1975
44,같아요,1913
45,늘,1870
46,먹어,1850
47,소스,1818
48,먹는,1811
49,했는데,1750
50,탕수육,1727
51,못,1708
52,푸,1708
53,집,1676
54,해서,1671
55,양념,1572
56,맛있어서,1520
57,음식,1514
58,조금,1461
59,밥,1454
60,아주,1425
61,나게,1411
62,합니다,1407
63,고기,1397
64,바삭,1358
65,시켰는데,1351
66,먹어요,1338
67,요청,1334
68,생각,1300
69,맛있었습니다,1296
70,먹었는데,1267
71,곳,1249
72,굿,1243
73,짬뽕,1205
74,와서,1204
75,분,1187
76,봤는데,1180
77,맛있는,1170
78,튀김,1157
79,언제나,1151
80,있습니다,1148
81,짐,1147
82,돈까스,1140
83,냉면,1129
84,좋았어요,1124
85,추천,1121
86,하세요,1114
87,사장,1108
88,먹을,1090
89,보쌈,1077
90,막국수,1076
91,맛집,1072
92,근데,1055
93,떡,1052
94,좋고,1050
95,완전,1046
96,떡볶이,1042
97,메뉴,1036
98,왔어요,1030
99,사항,1028
100,포장,1013
101,비,1011
102,점,1010
103,피자,1006
104,배송,1004
105,매운,1001
106,번창,988
107,국물,981
108,존맛,981
109,코바,972
110,믿고,963
111,매콤,947
112,버거,944
113,먹어도,926
114,후라이드,918
115,추가,917
116,버거킹,915
117,좋네요,914
118,이벤트,911
119,있어요,910
120,먹는데,910
121,많아서,907
122,짱,902
123,먹기,899
124,맛있어용,893
125,많아요,891
126,예상,864
127,할게요,857
128,빠른,848
129,잇어요,844
130,담,842
131,빨라요,827
132,굳,827
133,먹을게요,825
134,거,818
135,해,818
136,가격,817
137,치즈,812
138,먹었네요,809
139,좋았습니다,806
140,좋습니다,796
141,맛있게잘,769
142,정도,767
143,육회,759
144,그냥,730
145,초밥,719
146,개,716
147,시킬게요,708
148,앞,704
149,않고,694
150,맵,690
151,살,675
152,김치,674
153,말,674
154,잇게,669
155,제일,669
156,곱창,665
157,가성,656
158,만족,644
159,먹고있습니다,626
160,특히,624
161,콜라,622
162,맛있음,613
163,빠르게,609
164,살짝,607
165,번,606
166,굿굿,605
167,주셔서,604
168,할,602
169,없이,594
170,빨,594
171,냄새,592
172,부드럽고,589
173,있어서,580
174,따뜻하게,574
175,수,563
176,짜장면,561
177,탱,558
178,연어,555
179,오고,551
180,주먹밥,548
181,재,545
182,용,543
183,단골,543
184,날,539
185,먹습니다,537
186,닭,535
187,먹다가,534
188,햄버거,529
189,만두,528
190,배,527
191,링클,524
192,느낌,523
193,만족합니다,515
194,중,514
195,감자,514
196,주신,510
197,먹겠습니다,507
198,감사해요,507
199,좋은,506
200,도착,506
201,전,505
202,하는,504
203,뿌,500
204,먹었,498
205,후,497
206,꼭,491
207,배부르게,484
208,오래,484
209,약간,482
210,먹어서,476
211,해주셔서,471
212,먹고있어요,471
213,주시,470
214,깔끔하고,457
215,세트,454
216,달라,453
217,했습니다,451
218,다시,449
219,치즈볼,448
220,먹느라,447
221,찍었네요,446
222,듯,445
223,하니,443
224,계속,443
225,면,438
226,맛있는데,430
227,강추,425
228,새우,422
229,중국집,417
230,먹으니,417
231,보통,415
232,짜장,414
233,한번,414
234,여전히,408
235,첨,401
236,할께요,401
237,기분,400
238,양은,399
239,하게,399
240,나네요,396
241,끼,394
242,가족,388
243,안나,382
244,이렇게,380
245,하네요,377
246,매우,377
247,김밥,372
248,반,370
249,게,367
250,시킬,365
251,저번,362
252,먹,361
253,뭐,359
254,야채,357
255,입맛,353
256,습,352
257,저녁,352
258,무,351
259,지점,351
260,고추,350
261,기사,350
262,볶음밥,348
263,나고,348
264,먹다,348
265,먹으면,347
266,덕분,344
267,보고,343
268,맛있어,343
269,구성,341
270,도,338
271,왔네요,336
272,했지만,336
273,대박,334
274,원래,333
275,식후감,328
276,감사,327
277,함,326
278,맛있,325
279,찜닭,324
280,별로,323
281,보니,321
282,시켜요,321
283,덜,317
284,불,317
285,했네요,317
286,요즘,316
287,알,314
288,할인,313
289,많네요,312
290,입,311
291,없는,311
292,따로,310
293,감,309
294,진리,307
295,적당히,306
296,있고,305
297,순대,303
298,맛있다,301
299,빨랐어요,301
300,분만,297
301,친절하시고,295
302,간장,295
303,그런지,294
304,당면,293
305,가게,292
306,없고,292
307,는데,292
308,상태,290
309,와퍼,290
310,한,289
311,있는,289
312,서,287
313,가루,286
314,돈가스,285
315,보는데,284
316,깜빡,283
317,치밥,283
318,받았습니다,282
319,마늘,280
320,기름,278
321,먹네요,277
322,이제,277
323,이용,275
324,늦게,274
325,무조건,274
326,먹은,274
327,없어서,273
328,반찬,273
329,들어주셔서,272
330,최애,272
331,파세요,272
332,감사히,271
333,같습니다,268
334,킹,267
335,먹었어용,265
336,야식,265
337,살이,264
338,인분,263
339,왔고,263
340,식어서,263
341,좋아하는,261
342,기본,260
343,시켜서,259
344,조합,259
345,들어주시고,258
346,같은,258
347,가끔,258
348,사랑,257
349,페리,254
350,같네요,253
351,식사,253
352,간만,253
353,땐,252
354,카나,252
355,아쉽네요,251
356,걸,251
357,뼈,251
358,하겠습니다,250
359,아쉬웠어요,249
360,때문,249
361,파스타,249
362,이집,248
363,없네요,247
364,애,247
365,불고기,247
366,요기,246
367,쿠폰,246
368,온,245
369,찜,245
370,맛있다고,244
371,젤,243
372,감동,242
373,짐하게,240
374,일찍,240
375,전화,239
376,선택,239
377,찍었어요,238
378,잘먹엇습니,238
379,쫄깃,238
380,줄,237
381,적당하고,236
382,없어요,236
383,맛초킹,236
384,굿굿굿,233
385,좋겠어요,232
386,늦은,231
387,먹음,230
388,맛있어여,230
389,데,230
390,옷,229
391,하면,229
392,핫,228
393,먹을께요,227
394,였어요,227
395,명,227
396,곱,226
397,생각나서,226
398,임,226
399,예정,225
400,예전,225
401,좋아해서,225
402,간이,224
403,마리,223
404,강,222
405,빠르네요,219
406,평소,219
407,고민,219
408,괜찮아요,218
409,동네,217
410,종종,217
411,있네요,216
412,매장,216
413,가장,214
414,부분,214
415,드립니다,212
416,새벽,212
417,시켰어요,211
418,봐요,210
419,문자,210
420,육수,210
421,사리,209
422,신선하고,208
423,조아요,208
424,그릇,207
425,국수,206
426,짱짱,205
427,아들,205
428,스시,205
429,않아서,204
430,하고,203
431,따뜻하고,203
432,바사삭,203
433,달,202
434,있는데,202
435,어제,202
436,급하게,201
437,좋은데,201
438,우동,201
439,달달,201
440,질,200
441,무난,200
442,개인,199
443,나서,199
444,되네요,199
445,사이드,199
446,왔습니다,198
447,바삭바삭,198
448,배고파서,198
449,뿌링클,197
450,시,196
451,찍어,196
452,인,196
453,좋아서,194
454,건지,193
455,된,192
456,빠릅니다,191
457,먹던,190
458,생각날,190
459,사이즈,190
460,수고,190
461,레드,190
462,해장,189
463,본,189
464,분도,189
465,하시는,188
466,빠름,188
467,교촌,188
468,많은,187
469,시키는,186
470,친구,186
471,시킬께요,184
472,또래,184
473,였습니다,183
474,욤,183
475,별,182
476,토핑,182
477,회,182
478,간짜장,181
479,내,181
480,여긴,180
481,고맙습니다,180
482,사람,179
483,니,179
484,둘다,179
485,먹게,179
486,지금,179
487,굽,178
488,단,177
489,계란찜,177
490,맥도날드,177
491,덮,176
492,주말,176
493,빵,176
494,드세요,176
495,양념치킨,176
496,점심,175
497,이유,174
498,매워서,174
499,좋아하는데,173
500,신경,173
501,매워요,173
502,좋아용,173
503,두번째,173
504,김,173
505,롯데리아,173
506,전체,172
507,맛있었고,172
508,맨날,172
509,큰,172
510,음료,170
511,넘나,170
512,김치찌개,170
513,순삭,169
514,여기는,169
515,같은데,169
516,비비큐,169
517,꿀맛,168
518,빨랐고,168
519,맛있었는데,168
520,좋,168
521,엽떡,168
522,변함,167
523,먹엇습니,167
524,비벼,167
525,재료,166
526,납니다,166
527,음,166
528,스파게티,166
529,이었어요,165
530,잇네요,165
531,족,165
532,재주,164
533,매운거,163
534,조각,163
535,일주일,162
536,의사,162
537,아침,162
538,갈릭,162
539,친절하고,161
540,깔끔하게,161
541,이었습니다,161
542,후회,161
543,기대,161
544,는,161
545,좋게,160
546,건,160
547,추합니다,160
548,아니라,160
549,중간,160
550,읍니,159
551,근처,159
552,마,158
553,듬뿍,158
554,실망,158
555,놀랐어요,156
556,뭔가,156
557,하는데,155
558,통,154
559,제대로,153
560,맵네요,152
561,군,151
562,보다,150
563,있었어요,150
564,퀄리티,149
565,애용,149
566,되게,149
567,되는,149
568,알았는데,149
569,가지,148
570,아쉬워요,148
571,허겁지겁,148
572,대비,148
573,탕슉,147
574,향,147
575,단계,147
576,탕,146
577,맛있지만,146
578,먹고싶을,146
579,거리,146
580,확인,145
581,났어요,145
582,날씨,145
583,짠,144
584,생각나면,144
585,나용,143
586,부모님,143
587,꽤,143
588,괜찮네요,143
589,맛있네용,143
590,최,142
591,시킨,142
592,옛날,142
593,찍어서,141
594,마시,141
595,지난번,141
596,오뎅,141
597,받았어요,140
598,잇고,139
599,금방,139
600,시킵니다,139
601,맛있는거,139
602,속도,138
603,좋음,138
604,비해,138
605,좋았고,138
606,오징어,138
607,퍽퍽,137
608,자체,136
609,싶을,136
610,엇,135
611,따,135
612,직접,135
613,마음,135
614,걱정,135
615,받아서,135
616,족장,135
617,쟁반짜장,134
618,제육,134
619,맛있었어용,134
620,배기,133
621,짐해,133
622,땡겨서,133
623,후기,133
624,되어,133
625,친절하게,132
626,불리,132
627,진심,132
