,word,frequency,count_rate
0,잘,15037,0.043519282251646044
1,먹었습니다,10963,0.03172852904999638
2,배달,10157,0.029395846899645466
3,맛있게,10023,0.029008031256783157
4,맛있어요,8896,0.025746328051515808
5,맛,8840,0.025584255842558426
6,너무,5756,0.016658707763548223
7,빠르고,3397,0.009831415961218436
8,먹었어요,3242,0.009382823239997106
9,시켜,2603,0.007533463569929817
10,항상,2498,0.007229578178134723
11,주문,2478,0.007171695246364228
12,감사합니다,2307,0.006676796179726503
14,좋아요,2055,0.005947471239418276
15,다,2015,0.005831705375877288
16,양도,2015,0.005831705375877288
17,진짜,1925,0.0055712321829100644
18,안,1910,0.005527819984082194
19,역시,1723,0.004986614572028073
20,양,1700,0.004920049200492005
21,맛있네요,1616,0.00467694088705593
22,맛있습니다,1554,0.004497503798567397
23,정말,1536,0.0044454091599739525
24,최고,1507,0.004361478908906736
25,맛있었어요,1504,0.004352796469141162
26,요,1392,0.004028652051226394
27,넘,1335,0.0038636856956804863
28,맛있고,1323,0.00382895593661819
29,많고,1314,0.003802908617321467
30,빨리,1299,0.0037594964184935967
31,더,1288,0.003727660806019825
32,소스,1249,0.0036147890890673613
33,오늘,1174,0.003397728094928008
34,먹고,1163,0.0033658924824542364
35,다음,1107,0.003203820273496853
36,많이,1077,0.0031169958758411115
39,처음,1035,0.0029954417191230738
40,분,1011,0.0029259822009984806
41,엄청,1006,0.002911511468055857
42,양념,1002,0.0028999348817017583
44,했는데,981,0.0028391578033427393
45,바삭,954,0.002761015845452572
46,못,954,0.002761015845452572
47,자주,948,0.002743650965921424
49,음식,940,0.002720497793213226
51,먹는,907,0.0026249909557919107
52,같아요,887,0.0025671080240214166
53,먹어,886,0.002564213877432892
54,사진,880,0.002546848997901744
55,해서,858,0.0024831777729542003
57,만,847,0.0024513421604804284
58,늘,809,0.0023413645901164894
59,조금,796,0.002303740684465668
60,시켰는데,756,0.00218797482092468
61,생각,746,0.0021590333550394326
62,서비스,740,0.0021416684755082844
63,요청,733,0.0021214094493886117
64,와서,733,0.0021214094493886117
65,집,731,0.002115621156211562
66,아주,711,0.002057738224441068
67,합니다,711,0.002057738224441068
68,굿,707,0.002046161638086969
69,왔어요,707,0.002046161638086969
70,리뷰,695,0.0020114318790246727
71,그냥,672,0.0019448665074886043
72,배송,670,0.001939078214311555
73,나게,666,0.001927501627957456
76,국물,625,0.001808841617827943
77,메뉴,622,0.0018001591780623688
78,맛있어서,603,0.0017451703928803993
79,근데,600,0.0017364879531148252
80,곳,577,0.001669922581578757
81,먹었는데,576,0.0016670284349902323
82,사항,571,0.0016525577020476087
83,좋았어요,570,0.001649663555459084
84,푸,552,0.0015975689168656393
86,빠른,546,0.001580204037334491
87,먹어요,541,0.0015657333043918675
88,봤는데,540,0.0015628391578033428
89,완전,539,0.001559945011214818
90,맛있었습니다,539,0.001559945011214818
91,밥,538,0.0015570508646262932
92,빨라요,535,0.0015483684248607191
93,추천,529,0.001531003545329571
94,예상,528,0.0015281093987410462
96,언제나,522,0.001510744519209898
97,개,510,0.0014760147601476014
100,점,493,0.0014268142681426814
101,먹을,489,0.0014152376817885826
102,포장,486,0.0014065552420230085
103,사장,486,0.0014065552420230085
104,맛있는,485,0.0014036610954344837
105,비,481,0.0013920845090803849
106,거,481,0.0013920845090803849
107,하세요,476,0.0013776137761377615
108,믿고,471,0.0013631430431951378
109,매콤,467,0.001351566456841039
110,먹는데,464,0.0013428840170754649
111,정도,462,0.0013370957238984156
112,해,460,0.001331307430721366
113,감자,454,0.0013139425511902178
114,굳,451,0.0013052601114246437
115,짱,445,0.0012878952318934953
117,잇어요,439,0.0012705303523623472
118,좋네요,436,0.001261847912596773
119,맛있어용,436,0.001261847912596773
120,존맛,431,0.0012473771796541494
122,살,428,0.0012386947398885754
123,있습니다,427,0.0012358005933000506
124,먹었네요,422,0.0012213298603574272
125,먹기,421,0.0012184357137689024
126,좋고,420,0.0012155415671803776
127,추가,417,0.0012068591274148035
128,후,412,0.00119238839447218
132,있어요,396,0.0011460820490557847
133,좋았습니다,396,0.0011460820490557847
134,않고,395,0.00114318790246726
136,말,390,0.0011287171695246365
137,앞,390,0.0011287171695246365
138,가격,388,0.001122928876347587
139,오래,384,0.0011113522899934881
140,먹어도,383,0.0011084581434049636
141,좋습니다,382,0.0011055639968164388
142,짐,378,0.00109398741046234
143,도착,369,0.0010679400911656175
144,빨,366,0.0010592576514000434
145,오고,362,0.0010476810650459445
146,맛있음,361,0.00104478691845742
147,번창,360,0.0010418927718688952
148,빠르게,355,0.0010274220389262716
149,제일,355,0.0010274220389262716
150,맛있게잘,353,0.0010216337457492222
151,담,352,0.0010187395991606975
152,달라,347,0.001004268866218074
154,감,347,0.001004268866218074
155,매운,346,0.0010013747196295493
156,별로,342,0.0009897981332754504
157,맛집,340,0.0009840098400984009
160,많아서,335,0.0009695391071557775
161,느낌,329,0.0009521742276246292
162,다시,327,0.0009463859344475798
163,따뜻하게,324,0.0009377034946820057
164,많아요,322,0.0009319152015049562
165,굿굿,319,0.0009232327617393821
166,살짝,317,0.0009174444685623327
168,할인,315,0.0009116561753852833
169,없이,308,0.0008913971492656103
170,할,307,0.0008885030026770856
171,냄새,305,0.0008827147095000361
173,수,304,0.0008798205629115115
174,세트,303,0.0008769264163229868
175,할게요,303,0.0008769264163229868
176,잇게,303,0.0008769264163229868
177,날,302,0.000874032269734462
178,만족,300,0.0008682439765574126
179,번,300,0.0008682439765574126
180,왔네요,298,0.0008624556833803632
181,식어서,297,0.0008595615367918385
183,면,293,0.0008479849504377397
184,먹을게요,290,0.0008393025106721656
185,시킬게요,290,0.0008393025106721656
186,만족합니다,289,0.0008364083640836408
187,하는,286,0.0008277259243180667
188,양은,279,0.0008074668981983938
189,주셔서,279,0.0008074668981983938
190,이벤트,276,0.0007987844584328197
191,반,273,0.0007901020186672455
192,전,270,0.0007814195789016714
193,듯,269,0.0007785254323131466
194,있어서,268,0.000775631285724622
195,기름,267,0.0007727371391360973
196,용,264,0.0007640546993705231
198,전화,260,0.0007524781130164242
200,기분,257,0.0007437956732508501
201,특히,257,0.0007437956732508501
203,약간,255,0.0007380073800738007
204,탱,254,0.0007351132334852761
205,재,253,0.0007322190868967513
206,맛있는데,251,0.0007264307937197019
208,이렇게,248,0.0007177483539541278
209,맵,247,0.0007148542073656031
210,건지,245,0.0007090659141885537
211,먹다가,243,0.0007032776210115042
212,뭐,243,0.0007032776210115042
213,중,242,0.0007003834744229795
214,기사,242,0.0007003834744229795
215,하네요,241,0.0006974893278344548
216,무,240,0.0006945951812459302
217,감사해요,240,0.0006945951812459302
218,먹었,240,0.0006945951812459302
219,첨,239,0.0006917010346574054
220,원래,238,0.0006888068880688807
221,상태,236,0.0006830185948918313
222,해주셔서,236,0.0006830185948918313
223,하니,235,0.0006801244483033065
224,먹어서,233,0.0006743361551262571
227,없고,229,0.0006627595687721583
228,했습니다,229,0.0006627595687721583
229,먹고있습니다,226,0.0006540771290065841
230,주시,225,0.0006511829824180595
231,나네요,224,0.0006482888358295347
232,함,223,0.0006453946892410101
234,옷,217,0.0006280298097098618
236,하게,217,0.0006280298097098618
237,매우,217,0.0006280298097098618
238,식후감,216,0.0006251356631213371
241,분만,215,0.0006222415165328123
242,배,214,0.0006193473699442877
243,가성,213,0.000616453223355763
244,좋은,209,0.0006048766370016642
245,먹습니다,206,0.00059619419723609
246,먹,206,0.00059619419723609
247,가루,205,0.0005933000506475653
248,단골,205,0.0005933000506475653
250,실망,203,0.0005875117574705159
251,친절하시고,203,0.0005875117574705159
252,입맛,202,0.0005846176108819912
254,했지만,200,0.0005788293177049418
255,지점,200,0.0005788293177049418
256,그런지,198,0.0005730410245278923
258,없네요,198,0.0005730410245278923
259,마리,198,0.0005730410245278923
260,먹으니,195,0.0005643585847623183
262,계속,194,0.0005614644381737935
263,요기,193,0.0005585702915852688
264,핫,192,0.0005556761449967441
265,매장,192,0.0005556761449967441
