,word,frequency,count_rate
0,잘,18066,0.04682809997045055
1,먹었습니다,13688,0.03548007485860329
2,맛있게,13003,0.03370451588153263
3,맛,9777,0.025342540319445092
4,맛있어요,9561,0.024782656028865147
5,너무,8388,0.021742173284187934
6,배달,7580,0.0196477913083148
7,시켜,3972,0.010295650010109021
8,양도,3663,0.009494704427751598
9,먹었어요,3653,0.009468783858743267
10,주문,3510,0.009098119721924135
11,항상,3440,0.00891667573886582
12,족발,2716,0.007040026542662664
13,진짜,2704,0.007008921859852668
14,감사합니다,2651,0.006871542844108514
15,양,2635,0.006830069933695185
16,빠르고,2566,0.006651218007537702
17,많고,2520,0.00653198339009938
18,최고,2283,0.0059176659046019375
19,맛있습니다,2175,0.005637723759311965
20,정말,2096,0.00543295126414615
21,맛있네요,2036,0.005277427850096166
22,다,1969,0.005103760037740349
23,먹고,1870,0.0048471464045578725
24,다음,1810,0.004691622990507888
25,역시,1789,0.004637189795590393
26,맛있고,1780,0.004613861283482895
27,서비스,1766,0.004577572486871232
28,좋아요,1742,0.004515363121251238
29,맛있었어요,1741,0.004512771064350405
30,오늘,1727,0.004476482267738741
31,안,1690,0.004380576162407918
32,리뷰,1686,0.0043702079348045845
33,넘,1647,0.004269117715672095
34,더,1557,0.004035832594597117
35,만,1462,0.0037895871890179732
36,요,1341,0.00347594830401717
37,처음,1290,0.0033437534020746822
38,사진,1288,0.003338569288273016
39,엄청,1252,0.003245255239843025
40,많이,1186,0.003074179484388041
41,같아요,1186,0.003074179484388041
42,푸,1171,0.003035298630875545
43,자주,1129,0.002926432241040555
44,늘,1099,0.002848670534015563
45,했는데,1092,0.002830526135709731
46,밥,1081,0.002802013509800567
47,집,1071,0.002776092940792236
48,못,1070,0.002773500883891403
50,먹어,1052,0.002726843859676408
52,해서,1008,0.002612793356039752
53,먹는,1006,0.002607609242238086
55,맛있어서,952,0.002467638169593099
56,빨리,946,0.0024520858281881002
60,음식,918,0.002379508234964774
61,소스,896,0.002322482983146446
64,시켰는데,874,0.002265457731328118
65,합니다,822,0.002130670772484798
66,먹어요,816,0.002115118431079799
68,조금,811,0.002102158146575634
69,먹었는데,810,0.0020995660896748003
70,양념,807,0.002091789918972301
71,곳,784,0.00203217261025314
72,짐,784,0.00203217261025314
74,맛있었습니다,773,0.002003659984343976
75,나게,766,0.001985515586038145
76,요청,762,0.0019751473584348122
78,있습니다,747,0.001936266504922316
79,아주,745,0.00193108239112065
80,맛집,743,0.0019258982773189836
81,생각,717,0.0018585047978973235
83,이벤트,711,0.001842952456492325
84,사장,705,0.0018274001150873265
85,맛있는,704,0.0018248080581864934
86,매운,704,0.0018248080581864934
87,먹을,696,0.0018040716029798286
